age,educ,exper,hours,nwifeinc,speduc,kidslt6,kidsge6,expersq,black,hispanic
37,20,11.28846154,336,180,20,1,2,127.4293639,0,0
38,17,20.15384615,2340,120,20,0,3,406.1775148,0,0
37,17,16.96153846,2080,107,16,0,3,287.693787,0,0
38,16,20.03846154,2700,150,12,0,0,401.5399408,0,0
36,18,17.11538462,1872,107.5,16,1,0,292.9363905,0,0
34,18,16.78846154,1820,85,16,2,0,281.8524408,0,0
35,18,8.5,1000,36,19,1,2,72.25,0,0
34,14,17.73076923,2080,64.55,12,1,1,314.3801775,0,0
37,16,20.40384615,2080,45,16,1,1,416.3169379,0,0
37,18,18.15384615,2080,96,18,0,3,329.5621302,0,0
38,16,20.86538462,3655,65.025,16,0,2,435.3642751,0,0
36,15,19.09615385,2080,30,12,0,2,364.6630917,0,0
34,17,14.82692308,820,8,14,1,4,219.8376479,0,0
38,17,7.692307692,0,120,16,0,2,59.17159763,0,0
37,16,14.82692308,2132,126,16,0,2,219.8376479,0,0
36,14,2.711538462,300,51.309,12,0,0,7.352440828,0,0
36,20,19.92307692,2080,34,12,0,3,396.9289941,0,0
37,16,10.13461538,0,467.966,16,0,0,102.710429,0,0
36,17,15.38461538,1040,147.102,19,1,2,236.6863905,0,0
36,18,9,0,76.03,14,2,2,81,0,0
35,16,12,0,50,16,1,1,144,0,0
38,16,20.69230769,2080,120,17,1,2,428.1715976,0,0
34,9,7.884615385,0,30,11,0,4,62.16715976,0,0
37,16,19.25,2080,36,16,2,0,370.5625,0,0
36,17,16.30769231,0,126,16,2,0,265.9408284,0,0
34,16,3.153846154,0,66.908,16,1,3,9.946745562,0,0
34,12,9.307692308,2340,70,12,0,2,86.63313609,0,0
38,17,7.826923077,0,95,16,0,2,61.26072485,0,0
35,12,12.23076923,0,70,16,1,0,149.591716,0,0
35,16,14.15384615,2340,65,16,0,1,200.3313609,0,0
36,19,18.71153846,2184,0.005,14,2,0,350.1216716,0,0
36,12,0.442307692,0,24,12,0,2,0.195636095,0,0
36,19,18.75,1944,48,14,0,2,351.5625,0,0
37,13,17.71153846,2650,57,16,1,1,313.6985947,1,0
37,15,18.75,1760,25,14,0,1,351.5625,0,0
36,15,17.34615385,2080,28,16,1,0,300.8890533,1,0
38,16,12.78846154,1440,105,19,1,4,163.5447485,1,0
35,19,5.230769231,1741,60,14,0,2,27.36094675,0,0
35,19,11.36538462,1560,412.966,19,0,3,129.1719675,0,0
36,20,18.05769231,2600,26,14,0,2,326.0802515,1,0
37,12,12.19230769,1508,50,14,1,1,148.6523669,0,0
35,20,15.80769231,2600,80.5,20,1,0,249.8831361,0,0
37,16,20.46153846,2600,50,16,0,0,418.6745562,0,0
36,16,14.88461538,1508,42,11,0,3,221.5517751,0,0
34,18,5.307692308,0,180,16,1,1,28.17159763,0,0
35,16,6.365384615,0,90,16,2,1,40.5181213,0,0
38,12,7.730769231,1560,50,12,0,3,59.7647929,1,0
36,19,17.09615385,2080,54,16,1,1,292.2784763,0,0
37,19,18.73076923,2162,40,16,1,0,350.841716,0,0
34,18,14.07692308,1976,52,16,0,0,198.1597633,0,0
35,18,18.21153846,2090,12,15,1,1,331.6601331,0,0
34,20,17.42307692,1872,80,16,0,1,303.5636095,0,0
35,16,18.17307692,2340,75,16,1,0,330.2607249,0,0
36,18,18.67307692,1820,19,10,0,1,348.6838018,0,0
38,14,20.15384615,2340,75,14,0,1,406.1775148,0,0
34,20,17.36538462,1872,80.02,14,1,1,301.5565828,0,0
38,17,16.15384615,1820,113,14,0,2,260.9467456,0,0
